Building ID,Region,State,Month,Year,Category,Designation,GSF,Elec Amt,Elec Cost,Dmd Amt,Dmd Cost,Steam Amt,Steam Cost,Gas Amt,Gas Cost,Oil Amt,Oil Cost,CWater Amt,CWater Cost,Ren Elec Amt,Ren Elec Cost,Ren Gas Amt,Ren Gas Cost,Water Amt,Water Cost,Weather Station,HDD,CDD,Use Type,Year Built,Portfolio Manager ID,Portfolio Manager Meter ID,Postal Code
MA0050ZZ,1,Massachusetts       ,2,2015,A,"Z, W, X, Y",945421,1129920,208602,0,0,0,0,2582800,29212,0,0,0,0,84744,127,0,0,630564,10723,KBOS      ,675,0,,,,,
MA0050ZZ,1,Massachusetts       ,3,2015,A,"Z, W, X, Y",945421,946280,180477,0,0,0,0,3738600,37899,0,0,0,0,70971,106,0,0,446070,9179,KBOS      ,831,0,,,,,
MA0050ZZ,1,Massachusetts       ,4,2015,A,"Z, W, X, Y",945421,990240,181465,0,0,0,0,3707500,37825,0,0,0,0,74268,111,0,0,369849,6500,KBOS      ,1205,0,,,,,
MA0050ZZ,1,Massachusetts       ,5,2015,A,"Z, W, X, Y",945421,915640,160574,0,0,0,0,4782800,45047,0,0,0,0,68673,103,0,0,369175,6585,KBOS      ,1291,0,,,,,
MA0050ZZ,1,Massachusetts       ,6,2015,A,"Z, W, X, Y",945421,895440,182211,0,0,0,0,4415600,43015,0,0,0,0,67158,101,0,0,535119,9508,KBOS      ,983,0,,,,,
MA0050ZZ,1,Massachusetts       ,7,2015,A,"Z, W, X, Y",945421,1126320,208119,0,0,0,0,1974500,24347,0,0,0,0,84474,127,0,0,762773,13612,KBOS      ,507,0,,,,,
MA0050ZZ,1,Massachusetts       ,8,2015,A,"Z, W, X, Y",945421,1123000,210830,0,0,0,0,1352400,12435,0,0,0,0,84225,126,0,0,1054231,19039,KBOS      ,142,59,,,,,
MA0050ZZ,1,Massachusetts       ,9,2015,A,"Z, W, X, Y",945421,1541400,283083,0,0,0,0,1145200,9004,0,0,0,0,115605,173,0,0,1281100,24865,KBOS      ,106,91,,,,,
MA0050ZZ,1,Massachusetts       ,10,2015,A,"Z, W, X, Y",945421,1427920,285878,0,0,0,0,835300,8581,0,0,0,0,107094,161,0,0,1353357,24436,KBOS      ,1,280,,,,,
MA0050ZZ,1,Massachusetts       ,11,2015,A,"Z, W, X, Y",945421,1420480,287667,0,0,0,0,107300,497,0,0,0,0,0,0,0,0,0,0,KBOS      ,0,299,,,,,
MA0051ZZ,1,Massachusetts       ,1,2015,A,Y,176054,141120,18005,0,0,0,0,286000,2752,0,0,0,0,10584,16,0,0,120428,1271,KBAF      ,362,8,,,,,
MA0051ZZ,1,Massachusetts       ,2,2015,A,Y,176054,146160,19123,0,0,0,0,568000,5318,0,0,0,0,10962,16,0,0,84524,935,KBAF      ,791,0,,,,,
MA0051ZZ,1,Massachusetts       ,3,2015,A,Y,176054,140400,18457,0,0,0,0,435000,4000,0,0,0,0,10530,16,0,0,23188,340,KBAF      ,951,0,,,,,
MA0051ZZ,1,Massachusetts       ,4,2015,A,Y,176054,134640,21245,0,0,0,0,996000,9101,0,0,0,0,10098,15,0,0,224400,2244,KBAF      ,1384,0,,,,,
MA0051ZZ,1,Massachusetts       ,5,2015,A,Y,176054,142560,24064,0,0,0,0,1017000,9325,0,0,0,0,10692,16,0,0,112200,1194,KBAF      ,1416,0,,,,,
MA0051ZZ,1,Massachusetts       ,6,2015,A,Y,176054,130320,17659,0,0,0,0,845000,7768,0,0,0,0,9774,15,0,0,112200,1194,KBAF      ,1072,0,,,,,
MA0051ZZ,1,Massachusetts       ,7,2015,A,Y,176054,141840,19028,0,0,0,0,460800,4286,0,0,0,0,10638,16,0,0,224400,2244,KBAF      ,510,0,,,,,
MA0051ZZ,1,Massachusetts       ,8,2015,A,Y,176054,164160,20691,0,0,0,0,230400,2042,0,0,0,0,12312,18,0,0,224400,2244,KBAF      ,103,96,,,,,
MA0051ZZ,1,Massachusetts       ,9,2015,A,Y,176054,180720,25665,0,0,0,0,143000,1491,0,0,0,0,13554,20,0,0,224400,2248,KBAF      ,68,96,,,,,
MA0051ZZ,1,Massachusetts       ,10,2015,A,Y,176054,169200,28562,0,0,0,0,106000,1266,0,0,0,0,12690,19,0,0,224400,2346,KBAF      ,3,230,,,,,
MA0051ZZ,1,Massachusetts       ,11,2015,A,Y,176054,0,0,0,0,0,0,111000,539,0,0,0,0,0,0,0,0,0,0,KBAF      ,0,231,,,,,
MA0076ZZ,1,Massachusetts       ,1,2015,A,"G, E",8345,1209,191,0,0,0,0,0,0,26,0,0,0,91,0,0,0,748,19,KEWB      ,315,11,,,,,
MA0076ZZ,1,Massachusetts       ,2,2015,A,"G, E",8345,1230,218,0,0,0,0,0,0,264,0,0,0,92,0,0,0,1496,26,KEWB      ,705,0,,,,,
MA0076ZZ,1,Massachusetts       ,3,2015,A,"G, E",8345,1375,257,0,0,0,0,59300,698,270,0,0,0,103,0,0,0,748,19,KEWB      ,814,0,,,,,
MA0076ZZ,1,Massachusetts       ,4,2015,A,"G, E",8345,1463,279,0,0,0,0,77400,896,0,0,0,0,110,0,0,0,1496,26,KEWB      ,1187,0,,,,,
MA0076ZZ,1,Massachusetts       ,5,2015,A,"G, E",8345,1363,309,0,0,0,0,88300,973,0,0,0,0,102,0,0,0,748,19,KEWB      ,1290,0,,,,,
MA0076ZZ,1,Massachusetts       ,6,2015,A,"G, E",8345,1217,207,0,0,0,0,51200,520,0,0,0,0,91,0,0,0,748,319,KEWB      ,1023,0,,,,,
MA0076ZZ,1,Massachusetts       ,7,2015,A,"G, E",8345,1159,170,0,0,0,0,17800,165,0,0,0,0,87,0,0,0,748,19,KEWB      ,528,0,,,,,
MA0076ZZ,1,Massachusetts       ,8,2015,A,"G, E",8345,1152,162,0,0,0,0,0,15,0,0,0,0,86,0,0,0,748,19,KEWB      ,168,29,,,,,
